data,feriado,itens_vendidos,soma_de_vendas
2018-05-25,,128.0,18137.369876861572
2018-05-26,,116.0,16914.09000968933
2018-05-27,,112.0,14693.680080413818
2018-05-28,,170.0,30304.94997024536
2018-05-29,,173.0,29441.329904556274
2018-05-30,,155.0,22529.07003211975
2018-05-31,Corpus Christi,146.0,28156.520199775696
2018-06-01,,211.0,37284.05018615723
2018-06-02,,158.0,28939.990171432495
2018-06-03,,217.0,32869.90993309021
2018-06-04,,258.0,34326.399963378906
2018-06-05,,240.0,36105.9499206543
2018-06-06,,277.0,32176.98005104065
2018-06-07,,251.0,42676.38004779816
2018-06-08,,234.0,31797.19979286194
2018-06-09,,192.0,34033.7799243927
2018-06-10,,224.0,30295.410133361816
2018-06-11,,338.0,57345.56029129028
2018-06-12,,288.0,46762.429986953735
2018-06-13,,305.0,41586.60998916626
2018-06-14,,237.0,32707.210117340088
2018-06-15,,209.0,31498.759981155396
2018-06-16,,177.0,29000.079885482788
2018-06-17,,175.0,20751.520069122314
2018-06-18,,279.0,41027.07015419006
2018-06-19,,261.0,40013.60002708435
2018-06-20,,251.0,34330.25992202759
2018-06-21,,264.0,33301.99003696442
2018-06-22,,206.0,28753.14975643158
2018-06-23,,172.0,21181.110019683838
2018-06-24,,218.0,29498.57014656067
2018-06-25,,281.0,41879.919998168945
2018-06-26,,292.0,37645.540060043335
2018-06-27,,243.0,32505.930070877075
2018-06-28,,284.0,38773.74013900757
2018-06-29,,197.0,25098.690013885498
2018-06-30,,139.0,18621.70997428894
2018-07-01,,186.0,29060.700072288513
2018-07-02,,217.0,29422.43002128601
2018-07-03,,239.0,31454.600012779236
2018-07-04,,290.0,41579.8000459671
2018-07-05,,221.0,33949.50008583069
2018-07-06,,130.0,22108.66997528076
2018-07-07,,101.0,11277.239994049072
2018-07-08,,147.0,17554.719923973083
2018-07-09,,158.0,23122.170053482056
2018-07-10,,151.0,22246.770040512085
2018-07-11,,145.0,22148.639919281006
2018-07-12,,128.0,32569.70969390869
2018-07-13,,190.0,32529.389965057373
2018-07-14,,160.0,26427.020040512085
2018-07-15,,167.0,34489.39985656738
2018-07-16,,264.0,37854.659980773926
2018-07-17,,244.0,35758.419998168945
2018-07-18,,340.0,48984.14991569519
2018-07-19,,287.0,44911.24991226196
2018-07-20,,287.0,38061.85003852844
2018-07-21,,208.0,25508.96989631653
2018-07-22,,243.0,32962.25981903076
2018-07-23,,347.0,47975.61992454529
2018-07-24,,303.0,48083.44011592865
2018-07-25,,327.0,47917.71002006531
2018-07-26,,286.0,41784.73989868164
2018-07-27,,216.0,33331.11984062195
2018-07-28,,210.0,30065.120067596436
2018-07-29,,211.0,36468.25979042053
2018-07-30,,312.0,45814.03003692627
2018-07-31,,377.0,53402.25000953674
2018-08-01,,347.0,48431.02006340027
2018-08-02,,336.0,45629.51016044617
2018-08-03,,347.0,49517.589906692505
2018-08-04,,274.0,41239.97008037567
2018-08-05,,312.0,42272.070034980774
2018-08-06,,430.0,65860.43018054962
2018-08-07,,431.0,58299.19012641907
2018-08-08,,360.0,51365.11001968384
2018-08-09,,322.0,46685.510140419006
2018-08-10,,268.0,39575.29015159607
2018-08-11,,216.0,30565.72009086609
2018-08-12,,227.0,36739.75004005432
2018-08-13,,321.0,45876.88016319275
2018-08-14,,342.0,51471.32993412018
2018-08-15,,317.0,52358.63995361328
2018-08-16,,353.0,42224.799938201904
2018-08-17,,289.0,37639.12007522583
2018-08-18,,206.0,28698.099988937378
2018-08-19,,226.0,29989.350051879883
2018-08-20,,283.0,39830.07004737854
2018-08-21,,258.0,30830.68003177643
2018-08-22,,216.0,24262.620029449463
2018-08-23,,161.0,19522.579927444458
2018-08-24,,117.0,11308.490030288696
2018-08-25,,75.0,11737.759857177734
2018-08-26,,82.0,9304.000118255615
2018-08-27,,71.0,6111.600038528442
2018-08-28,,45.0,4121.230031013489
2018-08-29,,16.0,1762.699984550476
2018-09-03,,1.0,166.4600067138672
2018-09-07,Independência do Brasil,,
2018-10-12,Nossa Senhora Aparecida,,
2018-10-28,Dia do Servidor Público,,
2018-11-02,Finados,,
2018-11-15,Proclamação da República,,
2018-12-24,Véspera de Natal,,
2018-12-25,Natal,,
2018-12-31,Véspera de Ano-Novo,,
